id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:eating,field:preying on,field:hunting,field:hunting/feeding,field:interaction->preyed on,field:prey taxon,field:prey id,field:feeding on,field:depredando
37358,2008-09-27,2008-09-27,,London,3320,danielaustin,Daniel Austin,2011-10-27 19:15:54 UTC,2022-02-09 15:44:19 UTC,research,,http://www.inaturalist.org/observations/37358,http://static.inaturalist.org/photos/62697/medium.jpg,,H0498,"M. colubrinus attempting to predate upon a frog, which subsequently escaped.

NB: This record logs the observation of the snake in the photograph. For the corresponding record of the observation of the frog, see: http://www.inaturalist.org/observations/37360

For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",2,0,false,,Anjajavy Hotel,-14.990919,47.227619,,,,,,,open,false,,,Madagascar,Madagascarophis colubrinus,Madagascarophis colubrinus,Common Madagascar Cat Snake,Reptilia,29456,Boophis tephraeomystax,,,,,,,,
69309,2012-04-21,2012-04-21,,Jakarta,6079,myfier,Firman,2012-04-23 03:15:11 UTC,2022-10-22 18:32:50 UTC,research,CC-BY,http://www.inaturalist.org/observations/69309,https://inaturalist-open-data.s3.amazonaws.com/photos/104888/medium.jpg,,"","",1,0,false,,Gede Pangrango National Park-Selabintana Sukabumi,-6.8417923672,106.9639044693,,,,,,,open,false,,,Indonesia,Cuvier's Reed Snake,Calamaria schlegeli cuvieri,Cuvier's Reed Snake,Reptilia,27448,Oligochaeta,,,,,,,,
77065,2012-05-08,2012-05-08,,Eastern Time (US & Canada),3366,damien,Arrowhead Reptile Rescue,2012-05-10 22:09:44 UTC,2022-02-11 05:52:21 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/77065,https://inaturalist-open-data.s3.amazonaws.com/photos/114215/medium.jpg,,"",garter snake eating unidentified toad,2,0,false,,"Ohio, US",39.2763598235,-84.3729017466,6594,,,,28121,obscured,open,true,,,United States,Eastern Garter Snake,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,28365,Anaxyrus,,,,,,,,
77368,2012-05-04,2012-05-04,,Amsterdam,1948,bjsmit,BJ Smit,2012-05-11 15:26:37 UTC,2022-10-17 10:40:24 UTC,research,,http://www.inaturalist.org/observations/77368,http://static.inaturalist.org/photos/114620/medium.jpg,,"","",2,0,false,,Montenegro,42.3652665008,18.9692687988,1566,,,,1566,,open,false,,,Montenegro,Natrix natrix,Natrix natrix,grass snake,Reptilia,966787,Pelophylax,,,,,,,,
80222,"September 09, 2007 13:04",2007-09-09,2007-09-09 17:04:00 UTC,Eastern Time (US & Canada),6731,jenaitkens,Jennifer Aitkens,2012-05-18 04:28:31 UTC,2022-08-25 14:25:41 UTC,research,CC-BY,http://www.inaturalist.org/observations/80222,https://inaturalist-open-data.s3.amazonaws.com/photos/118217/medium.jpg,,"common garter snake, leopard frog, feeding",A garter snake (Thamnophis sirtalis) chows down on a leopard frog (Rana pipiens). The whole process took less than ten minutes.,2,0,false,,"Ontario, Canada",45.382084,-80.312783,,,,,,,,false,,,Canada,Eastern Garter Snake,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,28365,Lithobates pipiens,,,,,,,,
90221,2012-06-06,2012-06-06,,Pacific Time (US & Canada),7432,targeting,,2012-06-11 16:06:39 UTC,2022-01-14 18:40:58 UTC,research,CC-BY,http://www.inaturalist.org/observations/90221,http://static.inaturalist.org/photos/131638/medium.JPG,,"",This rattler was devouring a rabbit in Torrey Pines State Reserve on the Marsh Trail.,6,1,false,,"Torrey Pines State Reserve, San Diego CA USA",32.9278552812,-117.2563076019,,,,,,,open,false,,,United States,Southern Pacific Rattlesnake,Crotalus oreganus helleri,Southern Pacific Rattlesnake,Reptilia,30713,Sylvilagus,,,,,,,,
90739,"March 26, 2012 17:17",2012-03-26,2012-03-26 15:17:00 UTC,London,7468,chrismoody,Chris Moody,2012-06-13 09:48:56 UTC,2023-01-24 07:12:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/90739,https://inaturalist-open-data.s3.amazonaws.com/photos/132239/medium.jpg,,"","",10,2,false,,"Ladeira da Nora, Faro, Portugal",37.140203,-8.609333,,,,,,,,false,,"",Portugal,Гадюковый уж,Natrix maura,Viperine Snake,Reptilia,29351,Pelophylax perezi,,,,,,,,
100332,2012-04-25,2012-04-25,,Pacific Time (US & Canada),554,sterling,Sterling Sheehy,2012-07-10 05:13:16 UTC,2022-10-25 00:57:32 UTC,research,CC-BY,http://www.inaturalist.org/observations/100332,https://inaturalist-open-data.s3.amazonaws.com/photos/145249/medium.jpg,,"",Red-necked Keelback snake and its victim a rather large looking toad. Sorry about the bad picture.  Only had an iphone.,4,0,false,,Discovery Bay Golf Club hong kong,22.2847606056,114.0028685254,,,,,,,,false,,,Hong Kong,Heller's Red-necked Keelback,Rhabdophis helleri,Heller's Red-necked Keelback,Reptilia,1337912,,Bufonidae,,,,,,,
105440,2012-07-25,2012-07-25,,Central Time (US & Canada),7935,cmidden,"",2012-07-25 13:14:55 UTC,2022-10-12 00:00:37 UTC,research,CC-BY,http://www.inaturalist.org/observations/105440,http://static.inaturalist.org/photos/151677/medium.jpg,,snake,Small snake eating a rodent.,2,0,false,,"Home near Boskydell, IL",37.6718728654,-89.2092686892,13,,,,13,,open,false,,,United States,Prairie Kingsnake,Lampropeltis calligaster,Prairie Kingsnake,Reptilia,29823,Rodentia,,,,,,,,
105565,2012-05-19,2012-05-19,,Central America,8353,dave_k_h,"",2012-07-25 21:24:51 UTC,2022-02-09 15:47:37 UTC,research,CC-BY,http://www.inaturalist.org/observations/105565,http://static.inaturalist.org/photos/152016/medium.JPG,,"","After introducing a new group of volunteers to the facilities on base,   this encounter was spotted, the Four-Lined Whiptail (Ameiva quadrilineata) was dead before we saw the snake: it didn't stand a chance.",4,1,false,,"Kingfisher Creek, Tortuguero National Park",10.357760874,-83.3943589258,,,,,,,open,false,,,Costa Rica,Micrurus mosquitensis,Micrurus mosquitensis,Costa Rican Coralsnake,Reptilia,30537,Holcosus quadrilineatus,,,,,,,,
105566,2012-06-13,2012-06-13,,Central America,8353,dave_k_h,"",2012-07-25 21:31:08 UTC,2022-03-09 18:47:07 UTC,research,CC-BY,http://www.inaturalist.org/observations/105566,http://static.inaturalist.org/photos/152019/medium.JPG,,"","Once again a new group of volunteers is greeted by a predation-by-snake, this time a Green Parrotsnake tucks into a Common Mexican Treefrog (smilisca baudinii).",2,0,false,,"Coconut Plantation, Tortuguero National Park",10.357760874,-83.3943589258,,,,,,,open,false,,,Costa Rica,Parrot Snake,Leptophis ahaetulla,Giant Parrot Snake,Reptilia,29688,Smilisca baudinii,,,,,,,,
112175,2012-07-10,2012-07-10,,Pacific Time (US & Canada),8755,belinda,Belinda Lo,2012-08-12 20:46:42 UTC,2022-02-11 11:25:35 UTC,research,CC-BY,http://www.inaturalist.org/observations/112175,https://inaturalist-open-data.s3.amazonaws.com/photos/159894/medium.jpg,,"",yellow-bellied racer beats fence lizard,3,0,false,,"El Dorado National Forest, CA",38.9623592456,-120.4801172449,,,,,,,open,false,,,United States,Coluber mormon,Coluber constrictor mormon,Western Yellow-bellied Racer,Reptilia,200661,,Sceloporus,,,,,,,
122076,"November 24, 2004",2004-11-24,,Pacific Time (US & Canada),8060,herpguy,Paul Freed,2012-09-13 04:42:03 UTC,2023-04-28 01:47:03 UTC,research,CC-BY,http://www.inaturalist.org/observations/122076,http://static.inaturalist.org/photos/174181/medium.JPG,,"","This colubrid snake was found near Mount Kinabalu in northwestern Borneo, Malaysia.  It was found dead apparently chocked to death trying to eat an earthworm too large for it to handle. ",2,0,false,,"Kota Kinabalu, Borneo",5.9756133,116.1161971,2157,,,,2157,,open,false,,,Malaysia,Calamaria griswoldi,Calamaria griswoldi,Lined Reed Snake,Reptilia,27495,,Haplotaxida,,,,,Haplotaxida,,
122230,2012-09-03,2012-09-03,,Central America,8353,dave_k_h,"",2012-09-13 19:05:07 UTC,2022-10-31 23:58:25 UTC,research,CC-BY,http://www.inaturalist.org/observations/122230,http://static.inaturalist.org/photos/174354/medium.JPG,,"",This Marine Toad fell victim to this snake underneath a volunteer a dorm.,2,0,false,,"Jalova Base, Tortuguero National Park",10.3601777603,-83.3937835693,,,,,,,,false,,,Costa Rica,Leptodeira ornata,Leptodeira ornata,Ornate Cat-eyed Snake,Reptilia,1250197,,Rhinella horribilis,,,,,,,
126036,2012-09-22,2012-09-22,,Pacific Time (US & Canada),5613,sabrinah,"",2012-09-23 03:46:12 UTC,2022-02-10 14:32:47 UTC,research,CC-BY,http://www.inaturalist.org/observations/126036,http://static.inaturalist.org/photos/178368/medium.jpg,,"","I came upon this pair, the snake had his jaws clamped around the frog. As I took photos, the snake opened it's mouth suddenly, but neither moved for several seconds. As I took more pictures, the snake finally took off and the frog hopped away. I wasn't sure if I was happy for the escaped frog or sad for the snake without lunch.",4,0,false,,"Sonoma County, US-CA, US",38.3767676064,-122.6590085101,,,,,28270,,obscured,true,,,United States,Common Garter Snake,Thamnophis sirtalis,Common Garter Snake,Reptilia,28362,,Pseudacris sierra,,,,,,,
126853,2012-09-19,2012-09-19,,Pacific Time (US & Canada),9471,ambystoma_adorer,,2012-09-25 08:01:46 UTC,2022-01-04 13:38:03 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/126853,https://inaturalist-open-data.s3.amazonaws.com/photos/179449/medium.JPG,,"Snake eating Fish, Garter Snake, Two Striped Garter Snake, Thamnophis hammondii, T. hammondii, O. mykiss, Oncorhynchus mykiss, Rainbow Trout",T. hammondii catching and eating an Oncorhynchus mykiss from the stream in the Willow Riparian of Eaton Canyon.,4,0,false,,"Los Angeles County, US-CA, US",34.1963304686,-118.0368255392,,,,,28874,,obscured,true,,,United States,Two-striped Garter Snake,Thamnophis hammondii,Two-striped Garter Snake,Reptilia,28396,Oncorhynchus mykiss,,,,,,,,
180347,lun dic 31 2012 20:25:05 GMT-0600 (CST),2012-12-31,2013-01-01 02:25:05 UTC,Central Time (US & Canada),2535,jeisson,Jeisson Figueroa Sandi,2013-01-15 13:29:57 UTC,2022-03-18 18:37:05 UTC,research,,http://www.inaturalist.org/observations/180347,http://static.inaturalist.org/photos/235636/medium.jpg,,"","",2,0,false,,"Corcovado, CR-PU-GO, CR-PU, CR",8.4801453131,-83.589220047,,,,,,,open,false,,,Costa Rica,Leptodeira rhombifera,Leptodeira rhombifera,Rhombic Cat-eyed Snake,Reptilia,539880,,Anura,,,,,,,
206295,2013-02-23,2013-02-23,,Pacific Time (US & Canada),11424,myerssusan,Susan Myers,2013-02-27 11:51:05 UTC,2022-01-05 16:09:49 UTC,research,,http://www.inaturalist.org/observations/206295,http://static.inaturalist.org/photos/261769/medium.jpg,,"","Eating a Tokay. 
",3,0,false,,sen monorom,12.2608795973,107.0618104935,,,,,,,,false,,,Cambodia,Golden Tree Snake,Chrysopelea ornata,Golden Tree Snake,Reptilia,27207,Gekko gecko,,,,,,,,
215608,1999-05-01 11:00:00,1999-05-01,1999-05-01 03:00:00 UTC,Hong Kong,4079,hkmoths,Roger C. Kendrick,2013-03-14 02:31:13 UTC,2022-08-30 03:56:45 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/215608,http://static.inaturalist.org/photos/271907/medium.jpg,,"","caught the king cobra (top) attacking a copperhead racer (observation here: https://www.inaturalist.org/observations/215607) in a storm drain at Kadoorie Agricultural Research Centre, Shek Kong, Yuen Long, Hong Kong.

The cobra was about 2.2m long; didn't get to see how big the racer was, but probably a similar size or slightly bigger.

Didn't get too close - this was taken with a 180mm setting telephoto.

scanned in from a print",13,0,false,,"Kwun Yam Keng, New Territories, Hong Kong",22.430219,114.11397,,,,,,,open,false,,"",Hong Kong,King Cobra,Ophiophagus hannah,King Cobra,Reptilia,30472,Coelognathus radiatus,,,,,,,,
241705,2011-07-16 17:01:12,2011-07-16,2011-07-16 22:01:12 UTC,Central Time (US & Canada),15232,ericisley,Eric Isley,2013-04-21 03:42:57 UTC,2022-02-11 17:40:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/241705,http://static.inaturalist.org/photos/302306/medium.jpg,,"","July 16 2011

Had this large snake sticking it's head up when I was chasing after the robber fly never managed any super shots but in this shot had some sort of a mouse like mammal it was eating, Was great at climbing up a tree and was at least 6 foot long.",1,0,false,,"Austin, Texas, United States",30.215761,-97.64996,,,,,,,open,false,,,United States,Western Coachwhip,Masticophis flagellum testaceus,Western Coachwhip,Reptilia,547192,Rodentia,,,,,,,,
242535,2012-05-12 4:30PM,2012-05-12,2012-05-12 23:30:00 UTC,Pacific Time (US & Canada),15383,sekihiker,Bill Finch,2013-04-22 04:26:13 UTC,2022-02-11 11:25:15 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/242535,https://inaturalist-open-data.s3.amazonaws.com/photos/303358/medium.JPG,,"",Ambitious striped racer with lizard (unknown),5,0,false,,"Middle Fork Kaweah River, Tulare County, CA",36.536998,-118.727966,,,,,,,open,false,,,United States,California Striped Racer,Masticophis lateralis lateralis,California Striped Racer,Reptilia,734682,Sceloporus occidentalis,,,,,,,,
249006,2012-10-13,2012-10-13,,Bogota,8831,lpsaboya,liliana saboya,2013-04-29 22:34:34 UTC,2023-04-16 23:15:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/249006,https://inaturalist-open-data.s3.amazonaws.com/photos/310657/medium.JPG,,"",Thamnodynastes alimentándose de un Pleuroderma brachyops.,4,0,false,,"Montes de Oca, Guajira, Colombia",11.333333,-72.416667,2127,,,,2127,,open,false,,,Colombia,Dryophylax paraguanae,Dryophylax paraguanae,,Reptilia,1439444,Pleurodema brachyops,,,,,,,,
260678,2013-05-09 10:30,2013-05-09,2013-05-09 17:30:00 UTC,Pacific Time (US & Canada),998,vtraveler,John R. Harris,2013-05-09 23:00:59 UTC,2023-02-16 12:29:16 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/260678,https://inaturalist-open-data.s3.amazonaws.com/photos/323166/medium.jpeg,,"","",7,0,false,,White Hill Fire Road,37.996607,-122.647467,4,,,,4,,open,false,,,United States,Northern Pacific Rattlesnake,Crotalus oreganus oreganus,Northern Pacific Rattlesnake,Reptilia,48267,Sceloporus occidentalis,,,,,,,,
264812,2013-05-05,2013-05-05,,Sri Jayawardenepura,14549,chandika,Chandika Ekanayaka,2013-05-12 13:03:57 UTC,2022-02-07 16:07:12 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/264812,http://static.inaturalist.org/photos/327760/medium.jpg,,"","The common bronzeback tree snake (dendrilaphis tristis)
is getting it's meal and the meal was a tree frog ! Waited many times and came near to frog very fastly and suddenly caught up! Swallow the frog about 25 minutes . Then it's motion is too lazy becource it got it's lunch! If you know about the meals and behavior of this tree snake please responce me. ",5,2,false,,"Kandy, Sri Lanka",7.0,81.0,,,,,,,open,false,,,Sri Lanka,Boulenger's Bronze-back,Dendrelaphis bifrenalis,Boulenger's Bronzeback,Reptilia,26712,Anura,,,,,,,,
272848,2013-05-18,2013-05-18,,Pacific Time (US & Canada),2246,redpine,"",2013-05-20 04:21:16 UTC,2022-10-31 23:58:25 UTC,research,,http://www.inaturalist.org/observations/272848,http://static.inaturalist.org/photos/337380/medium.jpg,,"",Snake feeding on adult female Craugastor fitzingeri on steep slope near the entrance of Corcovado NP. Frog was making distress calls--'Gwa! Gwa!' about ~0.7 seconds apart followed by many seconds of silence.,2,0,false,,"La Leona, Corcovado NP, Costa Rica",8.448028,-83.486759,37,,,,37,,,false,,,Costa Rica,Leptodeira ornata,Leptodeira ornata,Ornate Cat-eyed Snake,Reptilia,1250197,Craugastor fitzingeri,,,,,,,,
300370,2013-06-10,2013-06-10,,Kolkata,17943,biswajitde,Biswajit De,2013-06-15 19:07:37 UTC,2023-04-21 16:37:15 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/300370,https://inaturalist-open-data.s3.amazonaws.com/photos/372366/medium.jpg,,"","",4,0,false,,Guwahati,26.147129,91.735551,19051,,,,19051,,,false,,,India,Lycodon aulicus,Lycodon aulicus,Indian Wolf Snake,Reptilia,29574,Gekkonidae,,,,,,,,
302272,2006-03-07  10:07 PM,2006-03-07,2006-03-08 04:07:00 UTC,Central Time (US & Canada),17313,tomlott,"",2013-06-17 16:37:31 UTC,2023-02-20 23:21:18 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/302272,https://inaturalist-open-data.s3.amazonaws.com/photos/374853/medium.jpg,,"",Specimen is feeding on a House Sparrow it captured in the eaves of a patio awning.  Sandy live oak savanna. 459 ft elev. ,3,0,false,,"Pleasanton, Atascosa Co., Texas",28.983015,-98.524039,50,,,,50,,open,false,,,United States,Texas Rat Snake,Pantherophis obsoletus,Western Ratsnake,Reptilia,73888,Passer domesticus,,,,Passer domesticus,,,,
305934,2013-06-18,2013-06-18,,Mexico City,16291,el_neotropico,Daniel Pineda Vera,2013-06-20 20:10:25 UTC,2022-02-08 05:34:33 UTC,research,CC-BY,http://conabio.inaturalist.org/observations/305934,http://static.inaturalist.org/photos/379628/medium.JPG,,"",Alacranera (Stenorrhina freminvillei) alimentándose de una tarántula. ,1,0,false,,"Berriozabal, Chiapas",16.797888,-93.272755,1718,,,,1718,,,false,,,Mexico,Stenorrhina freminvillei,Stenorrhina freminvillei,Blood Snake,Reptilia,28577,,Theraphosidae,,,,,,,
309236,2012-08-20,2012-08-20,,Eastern Time (US & Canada),9581,patricia,Patricia Zaradic,2013-06-23 16:18:16 UTC,2022-02-11 05:50:27 UTC,research,,http://www.inaturalist.org/observations/309236,http://static.inaturalist.org/photos/383530/medium.JPG,,"",A Garter snake in the process of eating and American toad along a waterside path.,3,0,false,,"Buck Island, Cranberry Lake, NY",44.155648,-74.811809,190,,,,190,,,false,,,United States,Eastern Garter Snake,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,28365,Anaxyrus,,,,,,,,
316351,Wed Jun 26 2013 10:46:06 GMT-0700 (PDT),2013-06-26,2013-06-26 17:46:06 UTC,Pacific Time (US & Canada),12711,natureeager,"",2013-06-30 20:58:32 UTC,2022-02-07 16:08:05 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/316351,https://inaturalist-open-data.s3.amazonaws.com/photos/392786/medium.JPG,,"","Trying to eat an earthworm, but was having difficulty getting it swallowed. Stayed posed on the rock for the entire time. ",3,0,false,,"Crook County, US-OR, US",44.368801,-120.381526,5,,,,5,,open,false,,,United States,Wandering Garter Snake,Thamnophis elegans vagrans,Wandering Garter Snake,Reptilia,28403,Lumbricidae,,,,,,,,
317739,Fri Jun 28 2013 21:59:11 GMT-0500 (CDT),2013-06-28,2013-06-29 02:59:11 UTC,Central Time (US & Canada),18587,kathelma,,2013-07-02 00:33:21 UTC,2022-02-23 15:58:02 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/317739,https://inaturalist-open-data.s3.amazonaws.com/photos/394736/medium.jpg,,"",Defending a dead squirrel,3,0,false,3,"Mayer Creek, Fredericksburg, Texas, US",30.364052,-98.851225,,,,,,,open,false,,,United States,Western rat snake,Pantherophis obsoletus,Western Ratsnake,Reptilia,73888,,,,,,,,Sciuridae,
323443,2012-11-17,2012-11-17,,Central Time (US & Canada),18780,hydaticus,Robby Deans,2013-07-07 03:47:19 UTC,2023-03-30 13:13:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/323443,https://inaturalist-open-data.s3.amazonaws.com/photos/402545/medium.JPG,,"","Found in small cave in Devils River State Natural Area, eating a bat.",3,0,false,,"val verde county, tx",29.896544,-100.994353,1301,,,,1301,,open,false,,,United States,Baird's Ratsnake,Pantherophis bairdi,Baird's Ratsnake,Reptilia,59646,,Chiroptera,,,,,,,
333652,2013-07-01,2013-07-01,,Central America,17327,yamaneko,Rafael Paredes Montesinos,2013-07-15 20:01:50 UTC,2022-03-20 18:58:46 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/333652,https://inaturalist-open-data.s3.amazonaws.com/photos/416467/medium.jpg,,"",Ejemplar adulto devorando una lagartija (Ameiva festiva) en area de Selva inundable...sobre el sendero que lleva a la estacion biologica de Chajul.,3,0,false,,Guatemala,16.111083,-90.940179,127,,,,127,,open,false,,,Mexico,Porthidium nasutum,Porthidium nasutum,Rainforest Hognose Viper,Reptilia,31011,Holcosus festivus,,,,,,,,
